Force_Target_N,Force_Actual_N,Stress_N_per_cm2,Aspect_Ratio_b_a,muscle_b_cm,muscle_a_cm,Volume_cm3,Am,Rho,Initial_Length_cm,Prestretch_Final_Length_cm,Prestretch_Elongation_cm,Prestretch_Strain,Max_Length_cm,Min_Length_cm,ROM_cm,Contraction_Strain,Completed_Date
36,46.498341,2.99155309,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,41.76337586629948,14.63905886629947,.539702,41.76337805460289,32.50681230778511,9.25656574681778,.341264,Fr 27. Feb 22:35:02 CET 2026
39,50.373202,3.24084913,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,43.43696237761926,16.31264537761925,.601402,43.43696528832731,33.34906141418044,10.08790387414687,.371913,Fr 27. Feb 22:35:05 CET 2026
39,50.373202,3.24084913,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,43.43696237761926,16.31264537761925,.601402,43.43696521500504,33.37484398298213,10.06212123202291,.370963,Fr 27. Feb 22:35:12 CET 2026
30,38.748617,2.49296088,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,38.17273471728862,11.04841771728861,.407325,38.17273587060088,30.79330568007404,7.37943019052684,.272059,Fr 27. Feb 22:35:33 CET 2026
33,42.623479,2.74225698,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,39.97815964686727,12.85384264686726,.473886,39.97816123803961,31.663206863399004,8.314954374640606,.306549,Fr 27. Feb 22:35:35 CET 2026
27,34.873755,2.24366477,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,36.44699341047463,9.32267641047462,.343701,36.44699422799826,29.96116665615772,6.48582757184054,.239114,Fr 27. Feb 22:35:42 CET 2026
45,58.122926,3.73944135,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,46.29378780852746,19.16947080852745,.706726,46.293792468703174,35.61995825604217,10.673834212661004,.393515,Fr 27. Feb 22:35:48 CET 2026
36,46.498341,2.99155309,6.8800,27.124317,3.942488,421.6,500,10.493,27.12431700000001,41.76337586629948,14.63905886629947,.539702,41.76337800962593,32.536380148428854,9.226997861197076,.340174,Fr 27. Feb 22:36:08 CET 2026
6,7.749723,.49859215,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,28.477809634409414,1.353492634409404,.049899,28.477809703346576,25.564489729204762,2.913319974141814,.107406,Fr 27. Feb 22:38:13 CET 2026
9,11.624585,.74788825,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,29.261456984201196,2.137139984201186,.078790,29.26145707834676,26.059168069114577,3.202289009232183,.118059,Fr 27. Feb 22:39:27 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,27.12431700000001,0,0,27.124317037057068,24.668334708151555,2.455982328905513,.090545,Fr 27. Feb 23:29:54 CET 2026
12,15.499447,.99718436,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,30.133618472116936,3.009301472116926,.110944,30.133618607666882,26.587554645114935,3.546063962551947,.130733,Fr 27. Feb 23:29:54 CET 2026
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.76912457055859,25.102011824262178,2.667112746296412,.098329,Fr 27. Feb 23:30:00 CET 2026
9,11.624585,.74788825,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,29.261456984201196,2.137139984201186,.078790,29.26145707892202,26.059062244128953,3.202394834793067,.118063,Fr 27. Feb 23:30:00 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.110693560593344,27.155567002242815,3.955126558350529,.145814,Fr 27. Feb 23:30:00 CET 2026
18,23.249170,1.49577651,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,32.21190834837036,5.08759134837035,.187565,32.211908626763844,27.772670758974336,4.439237867789508,.163662,Fr 27. Feb 23:30:02 CET 2026
24,30.998894,1.99436873,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,34.86779203476468,7.74347503476467,.285480,34.867792610610266,29.163585451781888,5.704207158828378,.210298,Fr 27. Feb 23:30:05 CET 2026
12,15.499447,.99718436,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,30.133618472116936,3.009301472116926,.110944,30.133618608699962,26.587690376849636,3.545928231850326,.130728,Fr 27. Feb 23:30:06 CET 2026
21,27.124032,1.74507262,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,33.45813721660514,6.33382021660513,.233510,33.458137618152186,28.445075158142494,5.013062460009692,.184818,Fr 27. Feb 23:30:06 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.110693562233454,27.156038091862783,3.954655470370671,.145797,Fr 27. Feb 23:30:10 CET 2026
6,7.749723,.49859215,6.8800,27.124317,3.942488,421.6,500,10.575,27.12431700000001,28.477809634409414,1.353492634409404,.049899,28.477809704210824,25.56458791550558,2.913221788705244,.107402,Fr 27. Feb 23:30:10 CET 2026
27,34.873755,2.24366477,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,36.44699341047463,9.32267641047462,.343701,36.44699423499262,29.965334669954128,6.481659565038492,.238961,Fr 27. Feb 23:30:12 CET 2026
30,38.748617,2.49296088,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,38.17273471728862,11.04841771728861,.407325,38.172735877411164,30.79875157995259,7.373984297458574,.271858,Fr 27. Feb 23:30:20 CET 2026
39,50.373202,3.24084913,6.8800,27.124317,3.942488,421.6,500,10.534,27.12431700000001,43.43696237761926,16.31264537761925,.601402,43.436965230682524,33.38664608954681,10.050319141135714,.370528,Fr 27. Feb 23:30:22 CET 2026
