Force_Target_N,Force_Actual_N,force_rescaled_N,Aspect_Ratio_a_b,muscle_b_cm,muscle_a_cm,Volume_cm3,surface_area_cm2,traction_N_cm2,Am,Rho,Initial_Length_cm,Final_Length_cm,Elongation_cm,Strain
18,1.064955,1.064955,10.1,35.03594,3.468905,421.6,12.033301899025,0.0885006466999958,550,10.493,35.03594,35.32295330751319,0.28701330751319,0.008191
21,1.242447,1.242447,10.1,35.03594,3.468905,421.6,12.033301899025,0.10325071293197335,550,10.493,35.03594,35.37168837734286,0.33574837734286,0.009582
3,0.241535,0.17749216161504405,6.88,27.840773,4.046624,455.9,16.375165797376003,0.014750079662625716,550,10.493,27.840773,27.878283316364183,0.037510316364186,0.001347
33,1.952417,1.952417,10.1,35.03594,3.468905,421.6,12.033301899025,0.1622511440653039,550,10.493,35.03594,35.569285128299825,0.533345128299825,0.015222
12,0.966142,0.7099701161615579,6.88,27.840773,4.046624,455.9,16.375165797376003,0.05900044078667081,550,10.493,27.840773,27.99201088795025,0.15123788795025,0.005432
30,1.774925,1.774925,10.1,35.03594,3.468905,421.6,12.033301899025,0.14750107783332633,550,10.493,35.03594,35.519482895444405,0.483542895444405,0.013801
39,2.307402,2.307402,10.1,35.03594,3.468905,421.6,12.033301899025,0.19175135963196915,550,10.493,35.03594,35.66971092301385,0.63377092301385,0.018089
45,2.662387,2.662387,10.1,35.03594,3.468905,421.6,12.033301899025,0.2212515751986344,550,10.493,35.03594,35.77124828351826,0.73530828351826,0.020987
18,1.449213,1.064955174242337,6.88,27.840773,4.046624,455.9,16.375165797376003,0.08850066118000623,550,10.493,27.840773,28.06884398516752,0.22807098516752,0.008191
36,2.12991,2.12991,10.1,35.03594,3.468905,421.6,12.033301899025,0.1770012933999916,550,10.493,35.03594,35.61936026270318,0.58342026270318,0.016652
9,0.724606,0.5324772196958231,6.88,27.840773,4.046624,455.9,16.375165797376003,0.044250300055961124,550,10.493,27.840773,27.953900152444454,0.113127152444454,0.004063
27,1.597432,1.5974320000000002,10.1,35.03594,3.468905,421.6,12.033301899025,0.13275092849863862,550,10.493,35.03594,35.46995082903745,0.43401082903745,0.012387
42,2.484895,2.484895,10.1,35.03594,3.468905,421.6,12.033301899025,0.20650150896665684,550,10.493,35.03594,35.720339585501826,0.684399585501826,0.019534
6,0.483071,0.35498505808077896,6.88,27.840773,4.046624,455.9,16.375165797376003,0.029500220393335407,550,10.493,27.840773,27.915991846882857,0.075218846882857,0.002701
21,1.690748,1.2424473358573809,6.88,27.840773,4.046624,455.9,16.375165797376003,0.10325074084263193,550,10.493,27.840773,28.10757058574784,0.26679758574784,0.009582
15,1.207677,0.887462277776602,6.88,27.840773,4.046624,455.9,16.375165797376003,0.07375052044929653,550,10.493,27.840773,28.03032442060563,0.189551420605634,0.006808
27,2.173819,1.5974323939381598,6.88,27.840773,4.046624,455.9,16.375165797376003,0.13275096123596733,550,10.493,27.840773,28.185653126923604,0.344880126923604,0.012387
33,2.65689,1.9524174520189392,6.88,27.840773,4.046624,455.9,16.375165797376003,0.16225118162930277,550,10.493,27.840773,28.26458758986872,0.42381458986872,0.015222
24,1.932284,1.4199402323231158,6.88,27.840773,4.046624,455.9,16.375165797376003,0.11800088157334163,550,10.493,27.840773,28.14650646291218,0.30573346291218,0.010981
36,2.898426,2.129910348484674,6.88,27.840773,4.046624,455.9,16.375165797376003,0.17700132236001245,550,10.493,27.840773,28.304379156243268,0.463606156243268,0.016652
30,2.415355,1.774925290403895,6.88,27.840773,4.046624,455.9,16.375165797376003,0.14750110196667704,550,10.493,27.840773,28.225012986665625,0.384239986665625,0.013801
39,3.139961,2.3074025100997178,6.88,27.840773,4.046624,455.9,16.375165797376003,0.19175140202263816,550,10.493,27.840773,28.344389469210142,0.503616469210146,0.018089
45,3.623032,2.6623875681804967,6.88,27.840773,4.046624,455.9,16.375165797376003,0.22125162241597354,550,10.493,27.840773,28.425074697726274,0.584301697726274,0.020987
3,0.219285,0.17749252112365252,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.014750109538765406,550,10.493,30.665793,30.707108810976152,0.041315810976152,0.001347
42,3.381497,2.4848954065654527,6.88,27.840773,4.046624,455.9,16.375165797376003,0.20650154275334784,550,10.493,27.840773,28.384620672955045,0.543847672955045,0.019534
0,0.0,0.0,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.0,550,10.493,30.665793,30.665793000000004,4e-15,0.0
9,0.657855,0.5324775633709575,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.044250328616296214,550,10.493,30.665793,30.790399336444228,0.124606336444228,0.004063
21,1.534995,1.2424476478655677,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.10325076677135785,550,10.493,30.665793,30.95966272599644,0.293869725996438,0.009582
15,1.096425,0.8874626056182625,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.07375054769382702,550,10.493,30.665793,30.874578420291257,0.208785420291254,0.006808
6,0.43857,0.35498504224730504,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.029500219077530813,550,10.493,30.665793,30.748644367932663,0.082851367932666,0.002701
12,0.87714,0.7099700844946101,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.059000438155061626,550,10.493,30.665793,30.832376935315096,0.166583935315096,0.005432
18,1.31571,1.064955126741915,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.08850065723259243,550,10.493,30.665793,30.91700642647004,0.25121342647004,0.008191
24,1.75428,1.4199401689892202,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.11800087631012325,550,10.493,30.665793,31.00254940866258,0.33675640866258,0.010981
27,1.973565,1.5974326901128726,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.13275098584888864,550,10.493,30.665793,31.045668401880217,0.379875401880217,0.012387
30,2.19285,1.774925211236525,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.14750109538765405,550,10.493,30.665793,31.089022128644157,0.423229128644157,0.013801
45,3.289275,2.6623878168547876,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.22125164308148107,550,10.493,30.665793,31.309384250440043,0.643591250440043,0.020987
33,2.412135,1.952417732360178,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.16225120492641948,550,10.493,30.665793,31.13261225582537,0.46681925582537,0.015222
42,3.06999,2.4848952957311354,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.2065015335427157,550,10.493,30.665793,31.26482509888404,0.59903209888404,0.019534
39,2.850705,2.3074027746074828,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.19175142400395026,550,10.493,30.665793,31.22051184365815,0.55471884365815,0.018089
0,0.0,0.0,9.0267,33.366348,3.696406,455.9,13.663417316836,0.0,550,10.493,33.366348,33.36634800000001,1e-14,0.0
36,2.63142,2.12991025348383,7.9533,30.665793,3.855732,455.9,14.866669255824002,0.17700131446518486,550,10.493,30.665793,31.176441677733,0.510648677733,0.016652
9,0.60461,0.5324769413435629,9.0267,33.366348,3.696406,455.9,13.663417316836,0.04425027692413393,550,10.493,33.366348,33.50192779507087,0.13557979507087,0.004063
3,0.201536,0.17749172665125668,9.0267,33.366348,3.696406,455.9,13.663417316836,0.014750043515956162,550,10.493,33.366348,33.41130268148408,0.04495468148408,0.001347
6,0.403073,0.35498433399740986,9.0267,33.366348,3.696406,455.9,13.663417316836,0.02950016022004505,550,10.493,33.366348,33.45649506605138,0.09014706605138,0.002701
18,1.209221,1.0649547633820224,9.0267,33.366348,3.696406,455.9,13.663417316836,0.08850062703640059,550,10.493,33.366348,33.63968447556639,0.27333647556639,0.008191
12,0.806147,0.7099695486897161,9.0267,33.366348,3.696406,455.9,13.663417316836,0.05900039362822281,550,10.493,33.366348,33.547602098189856,0.181254098189856,0.005432
15,1.007684,0.8874621560358692,9.0267,33.366348,3.696406,455.9,13.663417316836,0.0737505103323117,550,10.493,33.366348,33.59351975585263,0.22717175585263,0.006808
21,1.410758,1.2424473707281756,9.0267,33.366348,3.696406,455.9,13.663417316836,0.10325074374048947,550,10.493,33.366348,33.686096529244935,0.319748529244935,0.009582
27,1.813832,1.5974325854204818,9.0267,33.366348,3.696406,455.9,13.663417316836,0.13275097714866724,550,10.493,33.366348,33.77967642588567,0.41332842588567,0.012387
33,2.216906,1.952417800112788,9.0267,33.366348,3.696406,455.9,13.663417316836,0.162251210556845,550,10.493,33.366348,33.87427696636631,0.50792896636631,0.015222
24,1.612295,1.4199399780743287,9.0267,33.366348,3.696406,455.9,13.663417316836,0.11800086044457835,550,10.493,33.366348,33.73276038181253,0.36641238181253,0.010981
30,2.015369,1.7749251927666352,9.0267,33.366348,3.696406,455.9,13.663417316836,0.14750109385275614,550,10.493,33.366348,33.82684821673166,0.46050021673166,0.013801
