volume_cm3,aspect_ratio_a_b,muscle_extent_y_b_cm,muscle_extent_x_a_cm,top_surface_area_cm2,force_target_N,force_actual_N,stress_N_cm2
573.5,9.026666666666667,1.9164296020526241,17.298971207861687,299.25440485042765,33,48.5543857800025,0.16225119828819493
573.5,9.026666666666667,1.9164296020526241,17.298971207861687,299.25440485042765,36,52.96842085091182,0.1770013072234854
573.5,9.026666666666667,1.9164296020526241,17.298971207861687,299.25440485042765,39,57.38245592182113,0.19175141615877583
573.5,9.026666666666667,1.9164296020526241,17.298971207861687,299.25440485042765,42,61.796490992730455,0.20650152509406627
573.5,9.026666666666667,1.9164296020526241,17.298971207861687,299.25440485042765,45,66.21052606363978,0.22125163402935674
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,0,0.0,0.0
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,3,4.757349868241848,0.014750108935290447
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,6,9.514699736483696,0.029500217870580894
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,9,14.272049604725543,0.04425032680587134
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,12,19.02939947296739,0.05900043574116179
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,15,23.786749341209237,0.07375054467645223
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,18,28.544099209451087,0.08850065361174268
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,21,33.301449077692936,0.10325076254703314
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,24,38.05879894593478,0.11800087148232358
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,27,42.81614881417663,0.13275098041761402
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,30,47.573498682418474,0.14750108935290446
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,33,52.33084855066032,0.1622511982881949
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,36,57.088198418902174,0.17700130722348537
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,39,61.84554828714402,0.1917514161587758
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,42,66.60289815538587,0.20650152509406627
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,45,71.36024802362772,0.22125163402935671
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,0,0.0,0.0
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,3,4.171158307588338,0.014750108935290447
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,6,8.342316615176676,0.029500217870580894
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,9,12.513474922765013,0.04425032680587134
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,12,16.684633230353352,0.05900043574116179
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,15,20.855791537941688,0.07375054467645223
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,18,25.026949845530027,0.08850065361174268
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,21,29.198108153118365,0.10325076254703312
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,24,33.369266460706704,0.11800087148232358
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,27,37.54042476829504,0.13275098041761402
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,30,41.711583075883375,0.14750108935290446
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,33,45.88274138347172,0.16225119828819493
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,36,50.05389969106005,0.17700130722348537
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,39,54.22505799864839,0.1917514161587758
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,42,58.39621630623673,0.20650152509406625
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,45,62.567374613825066,0.2212516340293567
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,0,0.0,0.0
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,3,4.594417990080249,0.014750108935290449
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,6,9.188835980160498,0.029500217870580898
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,9,13.783253970240745,0.04425032680587134
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,12,18.377671960320995,0.059000435741161796
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,15,22.97208995040124,0.07375054467645223
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,18,27.56650794048149,0.08850065361174268
