  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
   159       1              inf              inf   9.69251665e-08              inf              inf   0.00000000e+00
   160       1              inf              inf   9.74865252e-08              inf              inf   0.00000000e+00
   161       1              inf              inf   9.80364608e-08              inf              inf   0.00000000e+00
   162       1              inf              inf   9.85479177e-08              inf              inf   0.00000000e+00
   163       1              inf              inf   9.90525059e-08              inf              inf   0.00000000e+00
   164       1              inf              inf   9.95120646e-08              inf              inf   0.00000000e+00
   165       1              inf              inf   9.99795720e-08              inf              inf   0.00000000e+00
   166       1              inf              inf   1.00394444e-07              inf              inf   0.00000000e+00
   167       1              inf              inf   1.00809985e-07              inf              inf   0.00000000e+00
   168       1              inf              inf   1.01197637e-07              inf              inf   0.00000000e+00
   169       1              inf              inf   1.01561245e-07              inf              inf   0.00000000e+00
   170       1              inf              inf   1.01923001e-07              inf              inf   0.00000000e+00
   171       1              inf              inf   1.02261645e-07              inf              inf   0.00000000e+00
   172       1              inf              inf   1.02574839e-07              inf              inf   0.00000000e+00
   173       1              inf              inf   1.02906356e-07              inf              inf   0.00000000e+00
   174       1              inf              inf   1.03199892e-07              inf              inf   0.00000000e+00
   175       1              inf              inf   1.03517712e-07              inf              inf   0.00000000e+00
   176       1              inf              inf   1.03809752e-07              inf              inf   0.00000000e+00
   177       1              inf              inf   1.04120512e-07              inf              inf   0.00000000e+00
   178       1              inf              inf   1.04433841e-07              inf              inf   0.00000000e+00
   179       1              inf              inf   1.04765207e-07              inf              inf   0.00000000e+00
   180       1              inf              inf   1.05108015e-07              inf              inf   0.00000000e+00
   181       1              inf              inf   1.05479402e-07              inf              inf   0.00000000e+00
   182       1              inf              inf   1.05879850e-07              inf              inf   0.00000000e+00
   183       1              inf              inf   1.06315529e-07              inf              inf   0.00000000e+00
   184       1              inf              inf   1.06808774e-07              inf              inf   0.00000000e+00
   185       1              inf              inf   1.07329059e-07              inf              inf   0.00000000e+00
   186       1              inf              inf   1.07940581e-07              inf              inf   0.00000000e+00
   187       1              inf              inf   1.08610238e-07              inf              inf   0.00000000e+00
   188       1              inf              inf   1.09348370e-07              inf              inf   0.00000000e+00
   189       1              inf              inf   1.10196195e-07              inf              inf   0.00000000e+00
   190       1              inf              inf   1.11133166e-07              inf              inf   0.00000000e+00
   191       1              inf              inf   1.12183250e-07              inf              inf   0.00000000e+00
   192       1              inf              inf   1.13356079e-07              inf              inf   0.00000000e+00
   193       1              inf              inf   1.14664586e-07              inf              inf   0.00000000e+00
   194       1              inf              inf   1.16104280e-07              inf              inf   0.00000000e+00
   195       1              inf              inf   1.17718993e-07              inf              inf   0.00000000e+00
   196       1              inf              inf   1.19480764e-07              inf              inf   0.00000000e+00
   197       1              inf              inf   1.21439028e-07              inf              inf   0.00000000e+00
   198       1              inf              inf   1.23563049e-07              inf              inf   0.00000000e+00
   199       1              inf              inf   1.25901863e-07              inf              inf   0.00000000e+00
   200       1              inf              inf   1.28442356e-07              inf              inf   0.00000000e+00
   201       1              inf              inf   1.31195932e-07              inf              inf   0.00000000e+00
   202       1              inf              inf   1.34187043e-07              inf              inf   0.00000000e+00
   203       1              inf              inf   1.37385754e-07              inf              inf   0.00000000e+00
   204       1              inf              inf   1.40868366e-07              inf              inf   0.00000000e+00
   205       1              inf              inf   1.44547061e-07              inf              inf   0.00000000e+00
   206       1              inf              inf   1.48522017e-07              inf              inf   0.00000000e+00
   207       1              inf              inf   1.52733806e-07              inf              inf   0.00000000e+00
   208       1              inf              inf   1.57214453e-07              inf              inf   0.00000000e+00
   209       1              inf              inf   1.61967769e-07              inf              inf   0.00000000e+00
   210       1              inf              inf   1.67003387e-07              inf              inf   0.00000000e+00
   211       1              inf              inf   1.72280097e-07              inf              inf   0.00000000e+00
   212       1              inf              inf   1.77873177e-07              inf              inf   0.00000000e+00
   213       1              inf              inf   1.83734865e-07              inf              inf   0.00000000e+00
   214       1              inf              inf   1.89869546e-07              inf              inf   0.00000000e+00
   215       1              inf              inf   1.96318741e-07              inf              inf   0.00000000e+00
   216       1              inf              inf   2.03021605e-07              inf              inf   0.00000000e+00
   217       1              inf              inf   2.10032165e-07              inf              inf   0.00000000e+00
   218       1              inf              inf   2.17344442e-07              inf              inf   0.00000000e+00
   219       1              inf              inf   2.24921603e-07              inf              inf   0.00000000e+00
   220       1              inf              inf   2.32815143e-07              inf              inf   0.00000000e+00
   221       1              inf              inf   2.40996602e-07              inf              inf   0.00000000e+00
   222       1              inf              inf   2.49481118e-07              inf              inf   0.00000000e+00
   223       1              inf              inf   2.58239525e-07              inf              inf   0.00000000e+00
   224       1              inf              inf   2.67327864e-07              inf              inf   0.00000000e+00
   225       1              inf              inf   2.76690711e-07              inf              inf   0.00000000e+00
   226       1              inf              inf   2.86371018e-07              inf              inf   0.00000000e+00
   227       1              inf              inf   2.96351989e-07              inf              inf   0.00000000e+00
   228       1              inf              inf   3.06610785e-07              inf              inf   0.00000000e+00
   229       1              inf              inf   3.17212589e-07              inf              inf   0.00000000e+00
   230       1              inf              inf   3.28091558e-07              inf              inf   0.00000000e+00
   231       1              inf              inf   3.39287928e-07              inf              inf   0.00000000e+00
   232       1              inf              inf   3.50798482e-07              inf              inf   0.00000000e+00
   233       1              inf              inf   3.62614813e-07              inf              inf   0.00000000e+00
   234       1              inf              inf   3.74740328e-07              inf              inf   0.00000000e+00
   235       1              inf              inf   3.87204373e-07              inf              inf   0.00000000e+00
   236       1              inf              inf   3.99960562e-07              inf              inf   0.00000000e+00
   237       1              inf              inf   4.13035853e-07              inf              inf   0.00000000e+00
   238       1              inf              inf   4.26456061e-07              inf              inf   0.00000000e+00
   239       1              inf              inf   4.40153117e-07              inf              inf   0.00000000e+00
   240       1              inf              inf   4.54220642e-07              inf              inf   0.00000000e+00
   241       1              inf              inf   4.68569764e-07              inf              inf   0.00000000e+00
   242       1              inf              inf   4.83266941e-07              inf              inf   0.00000000e+00
   243       1              inf              inf   4.98279550e-07              inf              inf   0.00000000e+00
   244       1              inf              inf   5.13620894e-07              inf              inf   0.00000000e+00
   245       1              inf              inf   5.29285025e-07              inf              inf   0.00000000e+00
   246       1              inf              inf   5.45302382e-07              inf              inf   0.00000000e+00
   247       1              inf              inf   5.61609350e-07              inf              inf   0.00000000e+00
   248       1              inf              inf   5.78287289e-07              inf              inf   0.00000000e+00
   249       1              inf              inf   5.95258691e-07              inf              inf   0.00000000e+00
   250       1              inf              inf   6.12614597e-07              inf              inf   0.00000000e+00
   251       1              inf              inf   6.30254242e-07              inf              inf   0.00000000e+00
   252       1              inf              inf   6.48254751e-07              inf              inf   0.00000000e+00
   253       1              inf              inf   6.66608208e-07              inf              inf   0.00000000e+00
   254       1              inf              inf   6.85263531e-07              inf              inf   0.00000000e+00
   255       1              inf              inf   7.04285645e-07              inf              inf   0.00000000e+00
   256       1              inf              inf   7.23643647e-07              inf              inf   0.00000000e+00
   257       1              inf              inf   7.43335112e-07              inf              inf   0.00000000e+00
   258       1              inf              inf   7.63377313e-07              inf              inf   0.00000000e+00
   259       1              inf              inf   7.83766607e-07              inf              inf   0.00000000e+00
   260       1              inf              inf   8.04484155e-07              inf              inf   0.00000000e+00
   261       1              inf              inf   8.25571749e-07              inf              inf   0.00000000e+00
   262       1              inf              inf   8.46984915e-07              inf              inf   0.00000000e+00
   263       1              inf              inf   8.68757799e-07              inf              inf   0.00000000e+00
   264       1              inf              inf   8.90886121e-07              inf              inf   0.00000000e+00
   265       1              inf              inf   9.13344143e-07              inf              inf   0.00000000e+00
   266       1              inf              inf   9.36170764e-07              inf              inf   0.00000000e+00
   267       1              inf              inf   9.59345582e-07              inf              inf   0.00000000e+00
   268       1              inf              inf   9.82873667e-07              inf              inf   0.00000000e+00
   269       1              inf              inf   1.00676286e-06              inf              inf   0.00000000e+00
   270       1              inf              inf   1.03097539e-06              inf              inf   0.00000000e+00
   271       1              inf              inf   1.05560041e-06              inf              inf   0.00000000e+00
   272       1              inf              inf   1.08053933e-06              inf              inf   0.00000000e+00
   273       1              inf              inf   1.10584143e-06              inf              inf   0.00000000e+00
   274       1              inf              inf   1.13154006e-06              inf              inf   0.00000000e+00
   275       1              inf              inf   1.15754267e-06              inf              inf   0.00000000e+00
   276       1              inf              inf   1.18396528e-06              inf              inf   0.00000000e+00
   277       1              inf              inf   1.21071528e-06              inf              inf   0.00000000e+00
   278       1              inf              inf   1.23784151e-06              inf              inf   0.00000000e+00
   279       1              inf              inf   1.26533908e-06              inf              inf   0.00000000e+00
   280       1              inf              inf   1.29321279e-06              inf              inf   0.00000000e+00
   281       1              inf              inf   1.32142760e-06              inf              inf   0.00000000e+00
   282       1              inf              inf   1.35005332e-06              inf              inf   0.00000000e+00
   283       1              inf              inf   1.37902171e-06              inf              inf   0.00000000e+00
   284       1              inf              inf   1.40839074e-06              inf              inf   0.00000000e+00
   285       1              inf              inf   1.43811616e-06              inf              inf   0.00000000e+00
   286       1              inf              inf   1.46823613e-06              inf              inf   0.00000000e+00
   287       1              inf              inf   1.49873817e-06              inf              inf   0.00000000e+00
   288       1              inf              inf   1.52962413e-06              inf              inf   0.00000000e+00
   289       1              inf              inf   1.56088304e-06              inf              inf   0.00000000e+00
   290       1              inf              inf   1.59255183e-06              inf              inf   0.00000000e+00
   291       1              inf              inf   1.62460822e-06              inf              inf   0.00000000e+00
   292       1              inf              inf   1.65705646e-06              inf              inf   0.00000000e+00
   293       1              inf              inf   1.68989240e-06              inf              inf   0.00000000e+00
   294       1              inf              inf   1.72315749e-06              inf              inf   0.00000000e+00
   295       1              inf              inf   1.75680211e-06              inf              inf   0.00000000e+00
   296       1              inf              inf   1.79086773e-06              inf              inf   0.00000000e+00
   297       1              inf              inf   1.82534281e-06              inf              inf   0.00000000e+00
   298       1              inf              inf   1.86022077e-06              inf              inf   0.00000000e+00
   299       1              inf              inf   1.89554619e-06              inf              inf   0.00000000e+00
   300       1              inf              inf   1.93126624e-06              inf              inf   0.00000000e+00
   301       1              inf              inf   1.96742941e-06              inf              inf   0.00000000e+00
   302       1              inf              inf   2.00401748e-06              inf              inf   0.00000000e+00
   303       1              inf              inf   2.04105881e-06              inf              inf   0.00000000e+00
   304       1              inf              inf   2.07850473e-06              inf              inf   0.00000000e+00
   305       1   1.00000000e+00   1.00000000e+00   2.11643930e-06              inf              inf   8.52631292e-06
   305       2   9.00218597e-01   9.00218597e-01   3.01025508e-06              inf              inf   7.69402205e-06
   305       3   2.12453671e-02   2.12453671e-02   3.98472543e-05              inf              inf   9.43461055e-08
   305       4              inf              inf   1.38478479e-06              inf              inf   4.48886224e-06
   305       5              inf              inf   5.66449811e-07              inf              inf   3.97698079e-06
   305       6              inf              inf   1.29778050e-07              inf              inf   2.70588107e-06
   305       7   1.11187557e+00   1.11187557e+00   2.61110027e-08              inf              inf   1.02735241e-05
   305       8              inf              inf   3.62435986e-09              inf              inf   9.64189048e-07
   305       9   9.13335419e-01   9.13335419e-01   3.50830354e-11              inf              inf   7.44329560e-06
   305      10   9.24782045e-01   9.24782045e-01   2.78326084e-12              inf              inf   7.56281236e-06
   305      11   9.39394116e-01   9.39394116e-01   3.87536666e-11              inf              inf   7.69303401e-06
   305      12              inf              inf   2.88126693e-10              inf              inf   8.60842509e-07
   305      13              inf              inf   9.61541773e-11              inf              inf   1.14456716e-06
   305      14              inf              inf   1.11914146e-10              inf              inf   1.39318360e-06
   305      15   1.03966886e+00   1.03966886e+00   3.33112508e-11              inf              inf   9.27546310e-06
   305      16   1.04051829e+00   1.04051829e+00   4.97007677e-11              inf              inf   9.31478369e-06
   305      17   9.13107391e-01   9.13107391e-01   1.59572504e-10              inf              inf   7.47982516e-06
   305      18              inf              inf   1.02701262e-09              inf              inf   6.05821933e-06
   305      19              inf              inf   2.71946825e-11              inf              inf   4.15827218e-06
   305      20              inf              inf   3.64865528e-12              inf              inf   2.40815079e-06
   305      21              inf              inf   6.24289738e-12              inf              inf   2.02057741e-06
   305      22   1.00000000e+00   1.00000000e+00   1.02168250e-10              inf              inf   8.73064246e-06
   305      23              inf              inf   4.95125766e-12              inf              inf   1.00989516e-06
   305      24              inf              inf   1.70263551e-13              inf              inf   9.01605133e-07
   305      25   9.37587666e-01   9.37587666e-01   5.87153272e-12              inf              inf   7.84751697e-06
   306       1   5.00000000e-01   5.00000000e-01   3.28639324e-05              inf              inf   8.39208281e-06
   306       2   1.33277526e+01   1.33402251e+01   3.22706335e-07   1.00000000e+00   1.00000000e+00   1.57885848e-02
   306       3   1.33259037e+01   1.33396508e+01   3.52191256e-07   9.99999999e-01   9.99999999e-01   1.46905767e-02
   306       4   1.33211093e+01   1.33381867e+01   3.63306656e-07   1.00000000e+00   1.00000000e+00   1.25887749e-02
   306       5   1.33120928e+01   1.33351655e+01   4.14634060e-07   9.99999999e-01   9.99999999e-01   1.01791791e-02
   306       6   1.32940221e+01   1.33289737e+01   4.62181198e-07   1.00000000e+00   1.00000000e+00   7.71151729e-03
   306       7   1.32586074e+01   1.33150501e+01   4.94622161e-07   9.99999990e-01   9.99999990e-01   5.60500038e-03
   306       8   1.31205767e+01   1.32638482e+01   4.90102774e-07   1.00000005e+00   1.00000005e+00   3.21789334e-03
   306       9   1.30313496e+01   1.31703996e+01   2.13445680e-07   9.99999353e-01   9.99999353e-01   2.72345719e-03
   306      10   7.99142392e-01   1.17728454e+00   1.52756961e-08              inf              inf   5.99402727e-05
   306      11   1.64408289e+00   3.30680191e+00   1.38670351e-08              inf              inf   1.03245050e-05
   306      12   1.71609990e+00   3.45285646e+00   1.64897340e-08              inf              inf   1.11600761e-05
   306      13   8.32091845e-02   1.22796829e-01   1.74260679e-08              inf              inf   1.77876988e-05
   306      14   5.01504384e-02   7.50717831e-02   1.99404955e-09              inf              inf   1.05717521e-05
   306      15   1.55511931e-02   2.32879371e-02   1.76467821e-09              inf              inf   3.27350790e-06
   306      16   3.60790143e-03   5.40348547e-03   3.90547651e-11              inf              inf   7.53796499e-07
   306      17   1.52426081e-04   2.28293600e-04   3.21167051e-11              inf              inf   3.16997235e-09
   306      18   1.54111374e-04   2.30817710e-04   3.18917446e-12              inf              inf   1.81912132e-09
   306      19   1.53970768e-04   2.30607119e-04   4.91598764e-13              inf              inf   1.81287349e-09
   306      20   1.54054771e-04   2.30732932e-04   5.79690567e-12              inf              inf   1.81108128e-09
   306      21   1.53964636e-04   2.30597932e-04   2.62397984e-12              inf              inf   1.81270101e-09
   306      22   1.54073711e-04   2.30761301e-04   3.40488222e-12              inf              inf   1.81261340e-09
   306      23   1.55485896e-04   2.32876379e-04   4.52246020e-11              inf              inf   1.81886340e-09
